feature_vector,video_path,label
[[0.18015574 0.08548235 0.18607269 ... 0.21341734 0.1518368  0.26525852]],some_videos_sample_clips/picking fruit/_XV4yV82tOY/clip_0006.mp4,normal
[[0.32021618 0.29422352 0.07535363 ... 0.13650922 0.16709857 0.27715397]],some_videos_sample_clips/picking fruit/_XV4yV82tOY/clip_0002.mp4,normal
[[0.2314829  0.34606847 0.12445678 ... 0.12660347 0.16384567 0.22540303]],some_videos_sample_clips/picking fruit/_XV4yV82tOY/clip_0011.mp4,normal
[[0.16980341 0.13989647 0.05308704 ... 0.15089917 0.13725989 0.        ]],some_videos_sample_clips/picking fruit/_XV4yV82tOY/clip_0017.mp4,normal
[[0.32139894 0.04222238 0.14569588 ... 0.21141382 0.         0.33620766]],some_videos_sample_clips/picking fruit/_XV4yV82tOY/clip_0012.mp4,normal
[[0.08773158 0.06057376 0.1299707  ... 0.09225171 0.2003455  0.21434598]],some_videos_sample_clips/picking fruit/_XV4yV82tOY/clip_0014.mp4,normal
[[0.14697006 0.17908922 0.12868159 ... 0.18999265 0.17459822 0.05774995]],some_videos_sample_clips/picking fruit/_XV4yV82tOY/clip_0003.mp4,normal
[[0.09527975 0.1211619  0.19198495 ... 0.07279223 0.27813172 0.1448463 ]],some_videos_sample_clips/picking fruit/_XV4yV82tOY/clip_0000.mp4,normal
[[0.24407029 0.05573772 0.01860373 ... 0.07626332 0.19724774 0.34423068]],some_videos_sample_clips/picking fruit/_XV4yV82tOY/clip_0015.mp4,normal
[[0.277478   0.23587672 0.11249882 ... 0.26997253 0.16239375 0.        ]],some_videos_sample_clips/picking fruit/_XV4yV82tOY/clip_0009.mp4,normal
[[0.12352517 0.08221685 0.         ... 0.22937448 0.13265024 0.41855383]],some_videos_sample_clips/picking fruit/_XV4yV82tOY/clip_0013.mp4,normal
[[0.3896076  0.28016087 0.10546845 ... 0.03074396 0.12554483 0.2404766 ]],some_videos_sample_clips/picking fruit/_XV4yV82tOY/clip_0010.mp4,normal
[[0.24354926 0.19449309 0.18289958 ... 0.05664203 0.24342881 0.1499297 ]],some_videos_sample_clips/picking fruit/_XV4yV82tOY/clip_0001.mp4,normal
[[0.1269656  0.02853133 0.2092477  ... 0.02809005 0.25280675 0.37069687]],some_videos_sample_clips/picking fruit/_XV4yV82tOY/clip_0004.mp4,normal
[[0.15415087 0.15483512 0.04288829 ... 0.21489541 0.3055759  0.12593709]],some_videos_sample_clips/picking fruit/_XV4yV82tOY/clip_0016.mp4,normal
[[0.11415233 0.26257318 0.13495114 ... 0.09489987 0.12001174 0.1502339 ]],some_videos_sample_clips/picking fruit/_XV4yV82tOY/clip_0005.mp4,normal
[[0.03159937 0.         0.17360388 ... 0.07775747 0.03641612 0.13790652]],some_videos_sample_clips/picking fruit/_XV4yV82tOY/clip_0008.mp4,normal
[[0.20482896 0.10433447 0.13785413 ... 0.07885134 0.23463511 0.07212543]],some_videos_sample_clips/picking fruit/_XV4yV82tOY/clip_0007.mp4,normal
[[0.1894816  0.28819868 0.20982604 ... 0.02729139 0.2175411  0.18664594]],some_videos_sample_clips/picking fruit/sZbKvtOW7n0/clip_0006.mp4,normal
[[0.36879626 0.23636737 0.38783842 ... 0.14714834 0.26650843 0.22707342]],some_videos_sample_clips/picking fruit/sZbKvtOW7n0/clip_0002.mp4,normal
[[0.11251743 0.4041975  0.16988404 ... 0.09085931 0.14572957 0.31435964]],some_videos_sample_clips/picking fruit/sZbKvtOW7n0/clip_0011.mp4,normal
[[0.07468318 0.23391247 0.05107908 ... 0.2075841  0.26556548 0.20375185]],some_videos_sample_clips/picking fruit/sZbKvtOW7n0/clip_0017.mp4,normal
[[0.08719854 0.202773   0.0727685  ... 0.16975893 0.03062129 0.3544678 ]],some_videos_sample_clips/picking fruit/sZbKvtOW7n0/clip_0012.mp4,normal
[[0.17364495 0.23474656 0.15102318 ... 0.2863039  0.08480861 0.29927838]],some_videos_sample_clips/picking fruit/sZbKvtOW7n0/clip_0014.mp4,normal
[[0.19229308 0.12400591 0.19569497 ... 0.15801227 0.25042078 0.28374106]],some_videos_sample_clips/picking fruit/sZbKvtOW7n0/clip_0003.mp4,normal
[[0.09332176 0.14534774 0.07967597 ... 0.23268734 0.18419427 0.22781578]],some_videos_sample_clips/picking fruit/sZbKvtOW7n0/clip_0000.mp4,normal
[[0.14715096 0.12982973 0.04403075 ... 0.01302555 0.20371448 0.12352665]],some_videos_sample_clips/picking fruit/sZbKvtOW7n0/clip_0015.mp4,normal
[[0.19456644 0.1632108  0.11988391 ... 0.04224238 0.3376995  0.1306613 ]],some_videos_sample_clips/picking fruit/sZbKvtOW7n0/clip_0009.mp4,normal
[[0.04884488 0.23684564 0.12990351 ... 0.09869706 0.19825272 0.25807843]],some_videos_sample_clips/picking fruit/sZbKvtOW7n0/clip_0013.mp4,normal
[[0.19589753 0.253676   0.29292175 ... 0.19846503 0.21262684 0.166764  ]],some_videos_sample_clips/picking fruit/sZbKvtOW7n0/clip_0010.mp4,normal
[[0.25565067 0.4220731  0.2875702  ... 0.22031379 0.4265409  0.3862856 ]],some_videos_sample_clips/picking fruit/sZbKvtOW7n0/clip_0001.mp4,normal
[[0.1456933  0.25873184 0.15865438 ... 0.14284085 0.13644916 0.22265983]],some_videos_sample_clips/picking fruit/sZbKvtOW7n0/clip_0004.mp4,normal
[[0.24649374 0.063268   0.11635881 ... 0.15347508 0.20236862 0.0594666 ]],some_videos_sample_clips/picking fruit/sZbKvtOW7n0/clip_0016.mp4,normal
[[0.20149903 0.3265468  0.14954859 ... 0.2507365  0.42801997 0.19579206]],some_videos_sample_clips/picking fruit/sZbKvtOW7n0/clip_0005.mp4,normal
[[0.1656489  0.26741558 0.04498706 ... 0.13216253 0.11650714 0.17600797]],some_videos_sample_clips/picking fruit/sZbKvtOW7n0/clip_0008.mp4,normal
[[0.14980319 0.2267832  0.21684615 ... 0.         0.19428931 0.21526973]],some_videos_sample_clips/picking fruit/sZbKvtOW7n0/clip_0007.mp4,normal
[[0.03033197 0.20845461 0.20068958 ... 0.11762118 0.08365446 0.21131413]],some_videos_sample_clips/picking fruit/1gIVwBdd4nE/clip_0006.mp4,normal
[[0.08547664 0.35699365 0.15178648 ... 0.01934456 0.10550904 0.3599785 ]],some_videos_sample_clips/picking fruit/1gIVwBdd4nE/clip_0002.mp4,normal
[[0.16788347 0.6077374  0.11500869 ... 0.11206626 0.22994582 0.18537275]],some_videos_sample_clips/picking fruit/1gIVwBdd4nE/clip_0011.mp4,normal
[[0.04704715 0.35604116 0.2713209  ... 0.02596712 0.18530546 0.16988371]],some_videos_sample_clips/picking fruit/1gIVwBdd4nE/clip_0017.mp4,normal
[[0.21269183 0.08796082 0.1420002  ... 0.         0.36248183 0.07830118]],some_videos_sample_clips/picking fruit/1gIVwBdd4nE/clip_0012.mp4,normal
[[0.2902299  0.2507591  0.09270105 ... 0.08368344 0.09813372 0.14868172]],some_videos_sample_clips/picking fruit/1gIVwBdd4nE/clip_0014.mp4,normal
[[0.17042156 0.21605904 0.34733012 ... 0.1607437  0.2530658  0.2520576 ]],some_videos_sample_clips/picking fruit/1gIVwBdd4nE/clip_0003.mp4,normal
[[0.19939141 0.27085075 0.29364976 ... 0.15866242 0.29938808 0.041327  ]],some_videos_sample_clips/picking fruit/1gIVwBdd4nE/clip_0000.mp4,normal
[[0.12364955 0.26076177 0.07107984 ... 0.18486992 0.18167245 0.10498767]],some_videos_sample_clips/picking fruit/1gIVwBdd4nE/clip_0015.mp4,normal
